,studentID,averagedCorrectness,averagedTimespent,totalNumProblems,numTopics,averagedComplexity,maxComplexity,minComplexity,averagedGoodworkTime,maxGoodworkTime,averagedEngagedTime_session,minEngagedTime_session,maxEngagedTime_session,averagedPointsEarned_session,maxPointsEarned_session,averagedNumWorkAttempted,averagedNumProbCompleted,averagedNumNewlyMasteredTopics,maxNumNewlyMasteredTopics,averagedWastedTime_session,averagedNumProblemsCorrect_session,maxNumProblemsCorrect_session,minNumProblemsCorrect_session,averagedEngagedTime_week,maxEngagedTime_week,minEngagedTime_week,averagedWastedTime_week,maxWastedTime,minWastedTime,averagedPointsEarned_week,maxPointsEarned_week,minPointsEarned,averagedWorksheetsAttempted,averagedNumProblemsCorrect_week,maxNumProblemsCorrect_week,minNumProblemsCorrect_week,averagedNumProblemsCompleted,maxNumProblemsCompleted,minNumProblemsCompleted,averagedNewlyMastedTopics,maxNewlyMastedTopics,numTrophiesEarned,averageRank,numberOfTestsCompleted,finishedCoursesNum,numAvatar
0,215509,49.60465116,73.20930233,43,19,1448.418605,10000,3,227.5,455,276.5,0,553,277.5,555,14.5,141,1.5,3,23.5,138.5,276,1,553,553,553,47,47,47,555,555,555,29,277,277,277,282,282,282,3,3,0,1,2,0,2
1,225413,24.11764706,13.70588235,17,16,1245.352941,10000,8,697.3333333,1610,913.0833333,46,2053,8539.833333,37435,25.66666667,146,4.166666667,13,44.25,141.9166667,538,2,1369.625,2664,294,66.375,374,0,12809.75,46328,1112,38.5,212.875,538,28,219,547,28,6.25,13,1,7.5,1,94,2
2,225420,82.5,29.95,20,15,555.65,10000,3,699.5217391,2517,860.4347826,0,3080,2519.73913,13962,23.26086957,156.7826087,2.565217391,10,96.08695652,149.826087,504,1,1979,7555,34,221,1504,0,5795.4,25228,0,53.5,344.6,718,35,360.6,771,35,6.2,20,0,6.5,1,150,3
3,225444,100,64.33333333,3,3,3370,10000,10,1241.846154,3992,1445.538462,285,4710,8210.538462,30912,22.69230769,83.61538462,3.615384615,15,36.07692308,77.84615385,300,13,1879.2,4710,285,46.9,334,0,10673.7,30912,0,29.5,101.2,300,13,108.7,322,13,4.8,15,0,7.769230769,0,316,1
4,225465,74,32.9,10,10,1078.5,10000,5,1451.2,13990,1769.96,136,17321,4015.36,52308,40.32,204.52,4.32,49,100.84,182.84,1662,3,3687.416667,21911,136,210.0833333,977,0,8365.333333,58355,0,84,380.9166667,2061,3,426.0833333,2317,7,7.916666667,48,1,7.5,0,222,4
5,225493,50,33.5,2,2,5250,10000,500,876.6111111,3838,1110.277778,0,5086,2290.055556,20310,19.5,88.38888889,1.555555556,14,117.7222222,73.38888889,509,1,1816.818182,6387,250,192.6363636,573,0,3747.363636,22179,0,31.90909091,120.0909091,542,1,144.6363636,582,4,4.636363636,37,0,7,0,0,2
6,225497,89,64.66666667,3,3,3370,10000,10,530.6363636,1502,656.2727273,0,2007,1168.363636,3310,13.63636364,61.81818182,1.454545455,7,68.90909091,56.18181818,244,1,721.9,2007,0,75.8,222,0,1285.2,3310,0,15,61.8,244,1,68,257,2,1.6,7,0,3.5,0,16,2
7,225500,42.5,28.35,20,17,611.35,10000,8,792.0416667,2653,1000.958333,60,3173,2153.666667,26498,18.33333333,96.25,1.416666667,10,240.625,81.83333333,577,1,2183.909091,14783,285,525,2755,0,4698.909091,47262,0,40,178.5454545,1487,1,210,1706,8,3.090909091,31,0,6.25,1,205,2
8,225507,59.22222222,73.33333333,9,9,1143.222222,10000,9,1051.470588,4069,1287.411765,284,4776,3043.823529,26965,17.41176471,81,1,6,112.4705882,68.05882353,465,4,1989.636364,5948,284,173.8181818,990,0,4704.090909,26965,0,26.90909091,105.1818182,465,5,125.1818182,481,9,1.545454545,6,0,6.25,0,111,1
9,225520,100,23,1,1,10000,10000,10000,659.6086957,1375,819,47,1874,4108.347826,16710,17.69565217,126.7391304,2.565217391,9,9.130434783,122.5217391,721,2,1883.7,4190,370,21,144,0,9449.2,21777,637,40.7,281.8,802,14,291.5,804,16,7.3,24,0,7.615384615,0,166,4
10,225589,85.29411765,48.29411765,17,14,654.9411765,10000,3,1092.692308,3628,1304.025641,0,4399,3409.384615,28094,16.97435897,73.64102564,1.666666667,9,110.4871795,65.97435897,443,0,8476.166667,32313,92,718.1666667,3756,0,22161,77389,190,110.3333333,428.8333333,1242,45,478.6666667,1455,45,11.66666667,35,0,8.5,1,278,3
11,225590,75,69.11111111,18,14,635.2222222,10000,5,113,113,190,190,190,205,205,7,106,1,1,20,105,105,105,190,190,190,20,20,20,205,205,205,7,105,105,105,106,106,106,1,1,0,1,1,0,1
12,225596,76.0625,86.75,16,15,694.4375,10000,3,374.3333333,812,502.8,13,1161,1338.466667,5878,16.6,101.2666667,2.8,8,11.93333333,98.66666667,296,6,628.5,1401,13,14.91666667,179,0,1673.083333,6225,0,20.75,123.3333333,322,6,126.5833333,328,6,3.5,8,1,4.75,1,38,3
13,225597,60,55.73333333,15,13,768.8,10000,8,1258.884615,5626,1560.076923,12,6985,4554.653846,19262,31.53846154,203,4.5,20,113.1153846,191.9230769,1009,6,3687.454545,12230,12,267.3636364,1687,0,10765.54545,35757,0,74.54545455,453.6363636,1746,6,479.8181818,1802,6,10.63636364,33,2,7.5,1,111,5
14,225598,43.33333333,83.8,15,15,1426.733333,10000,8,627.9166667,1246,802.9166667,66,1505,1209.5,3970,22,119.5,2.666666667,7,72.66666667,109.0833333,301,6,963.5,2788,66,87.2,564,0,1451.4,6300,0,26.4,130.9,365,6,143.4,390,9,3.2,8,0,4,0,0,2
15,225600,68.42105263,70.57894737,19,13,587.6315789,10000,3,202,202,292,292,292,205,205,9,147,1,1,0,145,145,145,292,292,292,0,0,0,205,205,205,9,145,145,145,147,147,147,1,1,0,1,1,0,1
16,225601,70.58823529,57.29411765,17,14,660.6470588,10000,3,592.1304348,2229,721.4347826,0,2636,3706.086957,30650,19.82608696,152.4782609,3.47826087,19,38.34782609,148.4347826,600,8,1106.2,2646,77,58.8,678,0,5682.666667,30650,390,30.4,227.6,635,18,233.8,648,19,5.333333333,20,1,7,1,166,4
17,225602,56.76470588,81.70588235,17,16,659.6470588,10000,5,300,560,388,38,716,748.75,1790,14.25,61.5,2,4,58.5,59,119,18,388,716,38,58.5,234,0,748.75,1790,150,14.25,59,119,18,61.5,122,18,2,4,0,2,1,0,1
18,225603,84.21052632,67.47368421,19,15,584.6842105,10000,3,1475.3125,4926,1890.3125,56,6909,7326,24690,50.5625,316.9375,8.625,21,13,304.75,1086,4,3780.625,9998,737,26,150,0,14652,30367,2895,101.125,609.5,1752,124,633.875,1850,125,17.25,65,1,7.923076923,1,94,5
19,225604,50,77.23529412,17,13,1295.470588,10000,5,718.3571429,1833,902.8571429,2,2137,2673.857143,11830,14.5,85.92857143,1.642857143,6,16.57142857,79.28571429,391,1,1404.444444,3494,2,25.77777778,88,0,4159.333333,15760,0,22.55555556,123.3333333,478,1,133.6666667,496,1,2.555555556,6,0,5.5,0,38,2
